id,title,main_picture/medium,main_picture/large,start_date,mean,media_type,status,genres/0/id,genres/0/name,genres/1/id,genres/1/name,genres/2/id,genres/2/name,genres/3/id,genres/3/name,num_episodes,start_season/year,start_season/season,average_episode_duration,rating,studios/0/id,studios/0/name,genres/4/id,genres/4/name,genres/5/id,genres/5/name,genres/6/id,genres/6/name,genres/7/id,genres/7/name,studios/1/id,studios/1/name,studios/2/id,studios/2/name,genres/8/id,genres/8/name,genres/9/id,genres/9/name
17389,Kingdom 2nd Season,https://api-cdn.myanimelist.net/images/anime/13/53589.jpg,https://api-cdn.myanimelist.net/images/anime/13/53589l.jpg,2013-06-08,8.38,tv,finished_airing,1,Action,38,Military,13,Historical,42,Seinen,39,2013,summer,1500,r,1,Studio Pierrot,,,,,,,,,,,,,,,,
170,Slam Dunk,https://api-cdn.myanimelist.net/images/anime/12/86890.jpg,https://api-cdn.myanimelist.net/images/anime/12/86890l.jpg,1993-10-16,8.53,tv,finished_airing,4,Comedy,8,Drama,23,School,27,Shounen,101,1993,fall,1380,pg_13,18,Toei Animation,30,Sports,,,,,,,,,,,,,,
10162,Usagi Drop,https://api-cdn.myanimelist.net/images/anime/2/29665.jpg,https://api-cdn.myanimelist.net/images/anime/2/29665l.jpg,2011-07-08,8.42,tv,finished_airing,36,Slice of Life,43,Josei,,,,,11,2011,summer,1375,pg_13,10,Production I.G,,,,,,,,,,,,,,,,
18617,Girls & Panzer Movie,https://api-cdn.myanimelist.net/images/anime/1776/91467.jpg,https://api-cdn.myanimelist.net/images/anime/1776/91467l.jpg,2015-11-21,8.22,movie,finished_airing,38,Military,23,School,30,Sports,,,1,2015,fall,7200,pg_13,60,Actas,,,,,,,,,,,,,,,,
32182,Mob Psycho 100,https://api-cdn.myanimelist.net/images/anime/8/80356.jpg,https://api-cdn.myanimelist.net/images/anime/8/80356l.jpg,2016-07-11,8.48,tv,finished_airing,1,Action,36,Slice of Life,4,Comedy,37,Supernatural,12,2016,summer,1440,pg_13,4,Bones,,,,,,,,,,,,,,,,
877,Nana,https://api-cdn.myanimelist.net/images/anime/2/11232.jpg,https://api-cdn.myanimelist.net/images/anime/2/11232l.jpg,2006-04-05,8.46,tv,finished_airing,19,Music,36,Slice of Life,4,Comedy,8,Drama,47,2006,spring,1380,r+,11,Madhouse,22,Romance,25,Shoujo,,,,,,,,,,,,
2251,Baccano!,https://api-cdn.myanimelist.net/images/anime/3/14547.jpg,https://api-cdn.myanimelist.net/images/anime/3/14547l.jpg,2007-07-27,8.41,tv,finished_airing,1,Action,4,Comedy,13,Historical,7,Mystery,13,2007,summer,1480,r,112,Brain's Base,37,Supernatural,,,,,,,,,,,,,,
24687,Mushishi Zoku Shou: Odoro no Michi,https://api-cdn.myanimelist.net/images/anime/8/63539.jpg,https://api-cdn.myanimelist.net/images/anime/8/63539l.jpg,2014-08-20,8.46,special,finished_airing,2,Adventure,10,Fantasy,13,Historical,7,Mystery,1,2014,summer,2820,pg_13,8,Artland,42,Seinen,36,Slice of Life,37,Supernatural,,,,,,,,,,
16498,Shingeki no Kyojin,https://api-cdn.myanimelist.net/images/anime/10/47347.jpg,https://api-cdn.myanimelist.net/images/anime/10/47347l.jpg,2013-04-07,8.49,tv,finished_airing,1,Action,38,Military,7,Mystery,31,Super Power,25,2013,spring,1440,r,858,Wit Studio,8,Drama,10,Fantasy,27,Shounen,,,,,,,,,,
10030,Bakuman. 2nd Season,https://api-cdn.myanimelist.net/images/anime/3/34923.jpg,https://api-cdn.myanimelist.net/images/anime/3/34923l.jpg,2011-10-01,8.39,tv,finished_airing,4,Comedy,8,Drama,22,Romance,27,Shounen,25,2011,fall,1470,pg_13,7,J.C.Staff,,,,,,,,,,,,,,,,
5941,Cross Game,https://api-cdn.myanimelist.net/images/anime/6/22103.jpg,https://api-cdn.myanimelist.net/images/anime/6/22103l.jpg,2009-04-05,8.43,tv,finished_airing,4,Comedy,8,Drama,22,Romance,23,School,50,2009,spring,1430,pg_13,118,SynergySP,27,Shounen,30,Sports,,,,,,,,,,,,
30346,Doukyuusei (Movie),https://api-cdn.myanimelist.net/images/anime/3/78606.jpg,https://api-cdn.myanimelist.net/images/anime/3/78606l.jpg,2016-02-20,8.32,movie,finished_airing,36,Slice of Life,22,Romance,23,School,28,Shounen Ai,1,2016,winter,3600,pg_13,56,A-1 Pictures,,,,,,,,,,,,,,,,
3784,Evangelion: 2.0 You Can (Not) Advance,https://api-cdn.myanimelist.net/images/anime/5/74983.jpg,https://api-cdn.myanimelist.net/images/anime/5/74983l.jpg,2009-07-27,8.34,movie,finished_airing,1,Action,24,Sci-Fi,40,Psychological,8,Drama,1,2009,summer,6720,pg_13,47,Khara,18,Mecha,,,,,,,,,,,,,,
13125,Shinsekai yori,https://api-cdn.myanimelist.net/images/anime/12/36775.jpg,https://api-cdn.myanimelist.net/images/anime/12/36775l.jpg,2012-09-29,8.35,tv,finished_airing,8,Drama,14,Horror,7,Mystery,40,Psychological,25,2012,fall,1360,r,56,A-1 Pictures,24,Sci-Fi,37,Supernatural,,,,,,,,,,,,
12029,Uchuu Senkan Yamato 2199,https://api-cdn.myanimelist.net/images/anime/2/36607.jpg,https://api-cdn.myanimelist.net/images/anime/2/36607l.jpg,2012-05-25,8.37,ova,finished_airing,1,Action,38,Military,24,Sci-Fi,29,Space,26,2012,spring,1500,pg_13,27,Xebec,8,Drama,,,,,,,48,AIC,,,,,,
14397,Chihayafuru 2,https://api-cdn.myanimelist.net/images/anime/6/47435.jpg,https://api-cdn.myanimelist.net/images/anime/6/47435l.jpg,2013-01-12,8.42,tv,finished_airing,8,Drama,11,Game,43,Josei,23,School,25,2013,winter,1340,pg_13,11,Madhouse,36,Slice of Life,30,Sports,,,,,,,,,,,,
10087,Fate/Zero,https://api-cdn.myanimelist.net/images/anime/2/73249.jpg,https://api-cdn.myanimelist.net/images/anime/2/73249l.jpg,2011-10-02,8.33,tv,finished_airing,1,Action,37,Supernatural,16,Magic,10,Fantasy,13,2011,fall,1680,r,43,ufotable,,,,,,,,,,,,,,,,
14719,JoJo no Kimyou na Bouken (TV),https://api-cdn.myanimelist.net/images/anime/3/40409.jpg,https://api-cdn.myanimelist.net/images/anime/3/40409l.jpg,2012-10-06,8.03,tv,finished_airing,1,Action,2,Adventure,37,Supernatural,32,Vampire,26,2012,fall,1440,r,287,David Production,27,Shounen,,,,,,,,,,,,,,
9756,Mahou Shoujo Madoka★Magica,https://api-cdn.myanimelist.net/images/anime/11/55225.jpg,https://api-cdn.myanimelist.net/images/anime/11/55225l.jpg,2011-01-07,8.37,tv,finished_airing,40,Psychological,8,Drama,16,Magic,41,Thriller,12,2011,winter,1449,pg_13,44,Shaft,,,,,,,,,,,,,,,,
10165,Nichijou,https://api-cdn.myanimelist.net/images/anime/3/75617.jpg,https://api-cdn.myanimelist.net/images/anime/3/75617l.jpg,2011-04-03,8.47,tv,finished_airing,36,Slice of Life,4,Comedy,23,School,27,Shounen,26,2011,spring,1420,pg_13,2,Kyoto Animation,,,,,,,,,,,,,,,,
13601,Psycho-Pass,https://api-cdn.myanimelist.net/images/anime/5/43399.jpg,https://api-cdn.myanimelist.net/images/anime/5/43399l.jpg,2012-10-12,8.38,tv,finished_airing,1,Action,24,Sci-Fi,39,Police,40,Psychological,22,2012,fall,1380,r,10,Production I.G,,,,,,,,,,,,,,,,
22789,Barakamon,https://api-cdn.myanimelist.net/images/anime/12/65427.jpg,https://api-cdn.myanimelist.net/images/anime/12/65427l.jpg,2014-07-06,8.41,tv,finished_airing,4,Comedy,36,Slice of Life,,,,,12,2014,summer,1370,pg_13,290,Kinema Citrus,,,,,,,,,,,,,,,,
